aaaamon.dll,Aaaa Monitor DLL
msasn1.dll,ASN.1 Runtime APIs
msaudite.dll,Security Audit Events DLL
mscat32.dll,MSCAT32 Forwarder DLL
mscms.dll,Microsoft Color Matching System DLL
msconf.dll,Conferencing Utility Dll
mscpx32r.dll,Microsoft Data Access - ODBC Code Page Translator Resources
mscpxl32.dll,Microsoft Data Access - ODBC Code Page Translator
msctf.dll,MSCTF Server DLL
msctfp.dll,MSCTFP Server DLL
msdadiag.dll,Microsoft Data Access - Built-In Diagnostics
msdart.dll,Microsoft Data Access - OLE DB Runtime Routines
msdbg2.dll,Microsoft Visual Studio 7.0 Debugging Proxy/Stub
msdmo.dll,DMO Runtime
msdtclog.dll,MS DTC log manager DLL
msdtcprx.dll,MS DTC OLE Transactions interface proxy DLL
msdtctm.dll,MS DTC transaction manager DLL
msdtcuiu.dll,MS DTC administrative component DLL
msdxmlc.dll,Windows Media Player
msencode.dll,Microsoft Character Encoder
msexch40.dll,Microsoft Jet Exchange Isam
msexcl40.dll,Microsoft Jet Excel Isam
msfeeds.dll,Microsoft Feeds Manager
msfeedsbs.dll,Microsoft Feeds Background Sync
msftedit.dll,Rich Text Edit Control, v4.1
msgina.dll,Windows NT Logon GINA DLL
msgsvc.dll,NT Messenger Service
mshtml.dll,Microsoft (R) HTML Viewer
mshtmled.dll,Microsoft® HTML Editing Component
mshtmler.dll,Microsoft® HTML Editing Component's Resource DLL
msi.dll,Windows Installer
msident.dll,Microsoft Identity Manager
msidle.dll,User Idle Monitor
msidntld.dll,Microsoft Identity Manager
msieftp.dll,Microsoft Internet Explorer FTP Folder Shell Extension
msihnd.dll,Windows® installer
msimg32.dll,GDIEXT Client DLL
msimsg.dll,Windows® Installer International Messages
msimtf.dll,Active IMM Server DLL
msir3jp.dll,Japanese Wordbreaker and Stemmer
msisip.dll,MSI Signature SIP Provider
msjet40.dll,Microsoft Jet Engine Library
msjetoledb40.dll,Microsoft OLE DB Provider for Jet
msjint40.dll,Microsoft Jet Database Engine International DLL
msjter40.dll,Microsoft Jet Database Engine Error DLL
msjtes40.dll,Microsoft Jet Expression Service
mslbui.dll,LangageBar Add In
msls31.dll,Microsoft Line Services library file
msltus40.dll,Microsoft Jet Lotus 1-2-3 Isam
msnetobj.dll,DRM ActiveX Network Object
msnsspc.dll,MSN Internet Access
msobjs.dll,System object audit names
msoeacct.dll,Microsoft Internet Account Manager
msoert2.dll,Microsoft Outlook Express RT Lib
msorc32r.dll,Microsoft Data Access - ODBC Driver for Oracle Resources
msorcl32.dll,Microsoft Data Access - ODBC Driver for Oracle
mspatcha.dll,Microsoft(R) Patch Engine
mspbde40.dll,Microsoft Jet Paradox Isam
mspmsnsv.dll,Microsoft Media Device Service Provider
mspmsp.dll,Microsoft Media Device Service Provider
msports.dll,Ports Class Installer
msprivs.dll,Microsoft Privilege Translations
msr2c.dll,Microsoft® Forms DLL
msr2cenu.dll,Microsoft® Forms DLL
msratelc.dll,Internet Ratings and Local User Management DLL
msrating.dll,Internet Ratings and Local User Management DLL
msrclr40.dll,Microsoft Jet Briefcase Reconciler Library
msrd2x40.dll,Microsoft (R) Red ISAM
msrd3x40.dll,Microsoft (R) Red ISAM
msrecr40.dll,Microsoft Jet Briefcase Reconciler Resource Library
msrepl40.dll,Microsoft Replication Library
msrle32.dll,Microsoft RLE Compressor
mssap.dll,DRM
msscp.dll,Windows Media Secure Content Provider
mssha.dll,Microsoft System Health Agent
msshavmsg.dll,Microsoft System Health Agent Validator Message
mssign32.dll,Microsoft Trust Signing APIs
mssip32.dll,MSSIP32 Forwarder DLL
msswch.dll,msswch
mstask.dll,Task Scheduler interface DLL
mstext40.dll,Microsoft Jet Text Isam
mstime.dll,Microsoft (R) Timed Interactive Multimedia Extensions to HTML
mstlsapi.dll,Microsoft® Terminal Server Licensing
mstscax.dll,Terminal Services ActiveX Client
msutb.dll,MSUTB Server DLL
msv1_0.dll,Microsoft Authentication Package v1.0
msvbvm50.dll,Visual Basic Virtual Machine
msvbvm60.dll,Visual Basic Virtual Machine
msvcirt.dll,Windows NT IOStreams DLL
msvcp50.dll,Microsoft (R) C++ Runtime Library
msvcp60.dll,Microsoft (R) C++ Runtime Library
msvcrt.dll,Windows NT CRT DLL
msvcrt20.dll,Microsoft® C Runtime Library
msvcrt40.dll,VC 4.x CRT DLL (Forwarded to msvcrt.dll)
msvfw32.dll,Microsoft Video for Windows DLL
msvidc32.dll,Microsoft Video 1 Compressor
msvidctl.dll,ActiveX control for streaming video
msw3prt.dll,ISAPI dll for Web Printing
mswdat10.dll,Microsoft Jet Sort Tables
mswebdvd.dll,MSWebDVD Module
mswmdm.dll,Windows Media Device Manager Core
mswsock.dll,Microsoft Windows Sockets 2.0 Service Provider
mswstr10.dll,Microsoft Jet Sort Library
msxbde40.dll,Microsoft Jet xBASE Isam
msxml.dll,XML OM for Win32
msxml2.dll,XML OM for Win32
msxml2r.dll,XML Resources for Win32
msxml3.dll,MSXML 3.0 SP9
msxml3r.dll,XML Resources
msxml6.dll,MSXML 6.0 SP2
msxml6r.dll,XML Resources
msxmlr.dll,XML Resources for Win32
msyuv.dll,Microsoft UYVY Video Decompressor
mtxclu.dll,MS DTC amd MTS clustering support DLL
mtxdm.dll,UNKNOWN
mtxex.dll,UNKNOWN
mtxlegih.dll,UNKNOWN
mtxoci.dll,Microsoft database support DLL for Oracle
mycomput.dll,Computer Management
mydocs.dll,My Documents Folder UI
napipsec.dll,NAP IPSec Enforcement Client
napmontr.dll,NAP Netsh Helper
narrhook.dll,Microsoft Narrator Keyboard and WinEvent hook
ncobjapi.dll,UNKNOWN
ncxpnt.dll,Netork Setup Wizard Support DLL
nddeapi.dll,Network DDE Share Management APIs
nddenb32.dll,Network DDE NetBIOS Interface
netapi32.dll,Net Win32 API DLL
netcfgx.dll,Network Configuration Objects
netevent.dll,Net Event Handler
neth.dll,Net Help Messages DLL
netid.dll,System Control Panel Applet; Network ID Page
netlogon.dll,Net Logon Services DLL
netman.dll,Network Connections Manager
netmsg.dll,Net Messages DLL
netplwiz.dll,Map Network Drives/Network Places Wizard
netrap.dll,Net Remote Admin Protocol DLL
netshell.dll,Network Connections Shell
netui0.dll,NT LM UI Common Code - GUI Classes
netui1.dll,NT LM UI Common Code - Networking classes
netui2.dll,NT LM UI Common Code - GUI Classes
newdev.dll,Add Hardware Device Library
nlhtml.dll,HTML filter
nlsdl.dll,Nls Downlevel DLL
nmevtmsg.dll,NetMeeting Event Logging DLL
nmmkcert.dll,NMMKCERT Library
normaliz.dll,Unicode Normalization DLL
npptools.dll,NPP Tools Helper DLL
ntdll.dll,NT Layer DLL
ntdsapi.dll,NT5DS
ntdsbcli.dll,NT5DS
ntlanman.dll,Microsoft® Lan Manager
ntlanui.dll,Lanman Control dll
ntlanui2.dll,Network object shell UI
ntlsapi.dll,Microsoft® License Server Interface DLL
ntmarta.dll,Windows NT MARTA provider
ntmsapi.dll,Removable Storage Public Interfaces
ntmsdba.dll,Removable Storage Manager DB Object APIs
ntmsevt.dll,Removable Storage Manager Event Logger
ntmsmgr.dll,Removable Storage Service
ntmssvc.dll,Removable Storage Manager
ntprint.dll,Spooler Setup DLL
ntsdexts.dll,Symbolic Debugger Extensions
ntshrui.dll,Shell extensions for sharing
ntvdmd.dll,NTVDMD.DLL
nwapi16.dll,NW Windows/Dos API DLL
nwapi32.dll,NW Win32 API DLL
nwcfg.dll,NWC Configuration DLL
nwevent.dll,Event Messages for Client Service for NetWare
nwprovau.dll,Client Service for NetWare Provider and Authentication Package DLL
nwwks.dll,Client Service for Netware
oakley.dll,Oakley Key Manager
objsel.dll,Object Picker Dialog
occache.dll,Object Control Viewer
ocmanage.dll,Optional Component Manager Library
odbc32.dll,Microsoft Data Access - ODBC Driver Manager
odbc32gt.dll,Microsoft Data Access - ODBC Driver Generic Thunk
odbcbcp.dll,Microsoft BCP for ODBC
odbcconf.dll,Microsoft Data Access - ODBC Driver Configuration Program
odbccp32.dll,Microsoft Data Access - ODBC Installer
odbccr32.dll,Microsoft Data Access - ODBC Cursor Library
odbccu32.dll,Microsoft Data Access - ODBC Cursor Library
odbcint.dll,Microsoft Data Access - ODBC Resources
odbcji32.dll,Microsoft ODBC Desktop Driver Pack 3.5
odbcjt32.dll,Microsoft ODBC Desktop Driver Pack 3.5
odbcp32r.dll,Microsoft Data Access - ODBC Driver Manager Resources
odbctrac.dll,Microsoft Data Access - ODBC Driver Manager Trace
oddbse32.dll,ODBC (3.0) driver for DBase
odexl32.dll,ODBC (3.0) driver for Excel
odfox32.dll,ODBC (3.0) driver for FoxPro
odpdx32.dll,ODBC (3.0) driver for Paradox
odtext32.dll,ODBC (3.0) driver for text files
offfilt.dll,OffFilt
ole32.dll,Microsoft OLE for Windows
oleacc.dll,Active Accessibility Core Component
oleaccrc.dll,Active Accessibility Resource DLL
oleaut32.dll,UNKNOWN
olecli32.dll,Object Linking and Embedding Client Library
olecnv32.dll,Microsoft OLE for Windows
oledlg.dll,Microsoft Windows(TM) OLE 2.0 User Interface Support
oleprn.dll,Oleprn DLL
olepro32.dll,UNKNOWN
olesvr32.dll,Object Linking and Embedding Server Library
olethk32.dll,Microsoft OLE for Windows
onex.dll,IEEE 802.1X supplicant library
opengl32.dll,OpenGL Client DLL
osuninst.dll,Uninstall Interface
p2p.dll,Peer-to-Peer Grouping
p2pgasvc.dll,Peer-to-Peer Group Authentication Service
p2pgraph.dll,Peer-to-Peer Graphing
p2pnetsh.dll,Peer-to-Peer NetSh Helper
p2psvc.dll,Peer-to-Peer Services
panmap.dll,PANOSE(tm) Font Mapper
pautoenr.dll,Auto Enrollment DLL
pdh.dll,Windows Performance Data Helper DLL
perfctrs.dll,Performance Counters
perfdisk.dll,Windows Disk Performance Objects DLL
perfnet.dll,Windows Network Service Performance Objects DLL
perfnw.dll,Client Service for Netware Counters
perfos.dll,Windows System Performance Objects DLL
perfproc.dll,Windows System Process Performance Objects DLL
perfts.dll,Windows 2000 Terminal Services Performance Objects
photometadatahandler.dll,Photo Metadata Handler
photowiz.dll,Photo Printing Wizard
pid.dll,Microsoft PID
pidgen.dll,Pid3.0 generation
pifmgr.dll,Windows NT PIF Manager Icon Resources Library
pjlmon.dll,PJL Language monitor
plustab.dll,Effects Control Panel extension
pngfilt.dll,IE PNG plugin image decoder
pnrpnsp.dll,PNRP Name Space Provider
polstore.dll,Policy Storage dll
powrprof.dll,Power Profile Helper DLL
prflbmsg.dll,Perflib Event Messages
printui.dll,Print UI DLL
profmap.dll,Userenv
psapi.dll,Process Status Helper
psbase.dll,Protected Storage default provider
pschdprf.dll,Microsoft® Windows(TM) PSched Performance Monitor
psnppagn.dll,DCOM Proxy for NPPAgent Object
pstorec.dll,Protected Storage COM interfaces
pstorsvc.dll,Protected storage server
qagent.dll,Quarantine Agent Proxy
qagentrt.dll,Quarantine Agent Service Run-Time
qasf.dll,DirectShow ASF Support
qcap.dll,DirectShow Runtime.
qcliprov.dll,Quarantine Client WMI Provider
qdv.dll,DirectShow Runtime.
qdvd.dll,DirectShow DVD PlayBack Runtime.
qedit.dll,DirectShow Editing.
qedwipes.dll,DirectShow Editing SMPTE Wipes
qmgr.dll,Background Intelligent Transfer Service
qmgrprxy.dll,Background Intelligent Transfer Service Proxy
qosname.dll,Microsoft Windows GetQosByName Service Provider
quartz.dll,DirectShow Runtime.
query.dll,Content Index Utility DLL
qutil.dll,Quarantine Utilities
racpldlg.dll,Microsoft Remote Assistance
rasadhlp.dll,Remote Access AutoDial Helper
rasapi32.dll,Remote Access API
rasauto.dll,Remote Access AutoDial Manager
raschap.dll,Remote Access PPP CHAP
rasctrs.dll,Windows NT Remote Access Perfmon Counter dll
rasdlg.dll,Remote Access Common Dialog API
rasman.dll,Remote Access Connection Manager
rasmans.dll,Remote Access Connection Manager
rasmontr.dll,RAS Monitor DLL
rasmxs.dll,Remote Access Device DLL for modems, PADs and switches
rasppp.dll,Remote Access PPP
rasqec.dll,RAS Quarantine Enforcement Client
rasrad.dll,Remote Access Service NT RADIUS client module
rassapi.dll,Remote Access Admin APIs dll
rasser.dll,Remote Access Media DLL for COM ports
rastapi.dll,Remote Access TAPI Compliance Layer
rastls.dll,Remote Access PPP EAP-TLS
rcbdyctl.dll,Microsoft Remote Assistance
rdchost.dll,RDSHost Client Module
rdpcfgex.dll,Terminal Server Connection Configuration Extension for the RDP protocol
rdpdd.dll,RDP Display Driver
rdpsnd.dll,Terminal Server MultiMedia Driver
rdpwsx.dll,RDP Extension DLL
regapi.dll,Registry Configuration APIs
regsvc.dll,Remote Registry Service
regwizc.dll,RegWizCtrl Module
remotepg.dll,Remote Sessions CPL Extension
rend.dll,Microsoft Rendezvous Control
resutils.dll,Microsoft Cluster Resource Utility DLL
rhttpaa.dll,RPC/HTTP Downlevel Side-by-side Runtime
riched20.dll,Rich Text Edit Control, v3.0
riched32.dll,Wrapper Dll for Richedit 1.0
rnr20.dll,Windows Socket2 NameSpace DLL
routetab.dll,Microsoft Routing Table DLL
rpcns4.dll,Remote Procedure Call Name Service Client
rpcrt4.dll,Remote Procedure Call Runtime
rpcss.dll,Distributed COM Services
rsaenh.dll,Microsoft Enhanced Cryptographic Provider
rsfsaps.dll,FSA Proxy / Stub
rshx32.dll,Security Shell Extension
rsmps.dll,RSM Proxy Stub
rsvpmsg.dll,RSVP Messages DLL
rsvpperf.dll,Microsoft® Windows(TM) RSVP Performance Monitor
rsvpsp.dll,Microsoft Windows Rsvp 1.0 Service Provider
rtipxmib.dll,Microsoft Router IPX MIB subagent
rtm.dll,Routing Table Manager
rtutils.dll,Routing Utilities
rwnh.dll,RWNH
s3legacy.dll,S3 Display Driver
safrcdlg.dll,Microsoft PCHealth Remote Assistance File Open & Save controls
safrdm.dll,Microsoft Help Center Desktop Manager
safrslv.dll,Microsoft Help Center Session Resolver
samlib.dll,SAM Library DLL
samsrv.dll,SAM Server DLL
sbe.dll,DirectShow Stream Buffer Filter.
sbeio.dll,Stream Buffer IO DLL
scarddlg.dll,SCardDlg - Smart Card Common Dialog
scardssp.dll,Smart Card Base Service Providers
sccbase.dll,Infineon SICRYPT® Base Smart Card CSP
sccsccp.dll,Infineon SICRYPT® Smart Card Crypto Provider COM Objects
scecli.dll,Windows Security Configuration Editor Client Engine
scesrv.dll,Windows Security Configuration Editor Engine
schannel.dll,TLS / SSL Security Provider
schedsvc.dll,Task Scheduler Engine
sclgntfy.dll,Secondary Logon Service Notification DLL
scredir.dll,Smart Card Redirection for TS
scrobj.dll,Windows (R) Script Component Runtime
scrrun.dll,Microsoft (R) Script Runtime
sdhcinst.dll,Secure Digital Host Controller Class Installer
sdpblb.dll,Microsoft Sdpblb
seclogon.dll,Secondary Logon Service DLL
secur32.dll,Security Support Provider Interface
security.dll,Security Support Provider Interface
sendcmsg.dll,Send Console Message
sendmail.dll,Send Mail
sens.dll,System Event Notification Service (SENS)
sensapi.dll,SENS Connectivity API DLL
senscfg.dll,SENS Setup/Setup Tool
serialui.dll,Serial Port Property Pages
servdeps.dll,WMI Snapins
serwvdrv.dll,Unimodem Serial Wave driver
setupapi.dll,Windows Setup API
setupdll.dll,Windows 2000 Setup Dynlink
sfc.dll,Windows File Protection
sfc_os.dll,Windows File Protection
sfcfiles.dll,Windows 2000 System File Checker
sfmapi.dll,Windows NT Macintosh File Service Client
shdoclc.dll,Shell Doc Object and Control Library
shdocvw.dll,Shell Doc Object and Control Library
shell32.dll,Windows Shell Common Dll
shellstyle.dll,Windows Shell Style Resource Dll
shfolder.dll,Shell Folder Service
shgina.dll,Windows Shell User Logon
shimeng.dll,Shim Engine DLL
shimgvw.dll,Windows Picture and Fax Viewer
shlwapi.dll,Shell Light-weight Utility Library
shmedia.dll,Media File Property Extractor Shell Extension
shscrap.dll,Shell scrap object handler
shsvcs.dll,Windows Shell Services Dll
sigtab.dll,File Integrity Settings
sisbkup.dll,Single-Instance Store Backup Support Functions
skdll.dll,Serial Keys
slayerxp.dll,Compatibility Tab Shell Extension DLL
smlogcfg.dll,Performance Logs and Alerts Snap-in
smtpapi.dll,SMTP Service Client API Stubs
snmpapi.dll,SNMP Utility Library
snmpsnap.dll,SNMP snap-in
softpub.dll,Softpub Forwarder DLL
spmsg.dll,Service Pack Messages
spoolss.dll,Spooler SubSystem DLL
sqlsrv32.dll,Microsoft SQL Server ODBC Driver
sqlunirl.dll,String Function .DLL for SQL Enterprise Components
sqlwid.dll,Unicode Function .DLL for SQL Enterprise Components
sqlwoa.dll,Unicode/ANSI Function .DLL for SQL Enterprise Components
srclient.dll,SR CLIENT DLL
srrstr.dll,System Restore Restore Operation Library
srsvc.dll,System Restore Service
srvsvc.dll,Server Service DLL
ssdpapi.dll,SSDP Client API DLL
ssdpsrv.dll,SSDP Service DLL
stclient.dll,UNKNOWN
sti.dll,Still Image Devices client DLL
sti_ci.dll,Still Image Class Installer
stobject.dll,Systray shell service object
storprop.dll,Property Pages for Storage Devices
streamci.dll,Streaming Device Class Installer
strmdll.dll,Windows Media Services Streamer Dll
strmfilt.dll,Stream Filter Library
svcpack.dll,Windows 2000 Service Pack Setup
swprv.dll,Microsoft® Volume Shadow Copy Service software provider
sxs.dll,Fusion 2.5
synceng.dll,Windows Briefcase Engine
syncui.dll,Windows Briefcase
sysinv.dll,Windows System Inventory
syssetup.dll,Windows NT System Setup
Thawbrkr.dll,Thai Word Breaker
t2embed.dll,Microsoft T2Embed Font Embedding
tapi3.dll,Microsoft TAPI3
tapi32.dll,Microsoft® Windows(TM) Telephony API Client DLL
tapiperf.dll,Microsoft® Windows(TM) Telephony Performance Monitor
tapisrv.dll,Microsoft® Windows(TM) Telephony Server
tapiui.dll,Microsoft® Windows(TM) Telephony API UI DLL
tcpmib.dll,Standard TCP/IP Port Monitor Helper DLL
tcpmon.dll,Standard TCP/IP Port Monitor DLL
tcpmonui.dll,Standard TCP/IP Port Monitor UI DLL
termmgr.dll,Microsoft TAPI3 Terminal Manager
termsrv.dll,Terminal Server Service
themeui.dll,Windows Theme API
tlntsvrp.dll,Microsoft Telnet Server Proxy Stub
traffic.dll,Microsoft Traffic Control 1.0 DLL
trkwks.dll,Distributed Link Tracking Client
tsappcmp.dll,Terminal Services Application Compatibility DLL
tsbyuv.dll,Toshiba Video Codec
tscfgwmi.dll,Terminal Server Configuration WMI provider
tsddd.dll,Framebuffer Display Driver
tsgqec.dll,TSGateway QEC
tspkg.dll,Web Service Security Package
twext.dll,Previous Versions property page
txflog.dll,Simple Kernel-mode File-based Log
udhisapi.dll,UPnP Device Host ISAPI Extension
ufat.dll,FAT Utility DLL
ulib.dll,File Utilities Support DLL
umandlg.dll,UManDlg DLL
umdmxfrm.dll,Unimodem Tranform Module
umpnpmgr.dll,User-mode Plug-and-Play Service
uniime.dll,Generic IME 5.0 version
unimdmat.dll,Unimodem Service Provider AT Mini Driver
uniplat.dll,Unimodem AT Mini Driver Platform Driver for Windows NT
untfs.dll,NTFS Utility DLL
upnp.dll,Universal Plug and Play API
upnphost.dll,UPnP Device Host
upnpui.dll,UPNP Tray Monitor and Folder
ureg.dll,Registry Utility DLL
url.dll,Internet Shortcut Shell Extension DLL
urlmon.dll,OLE32 Extensions for Win32
usbmon.dll,Standard Dynamic Printing Port Monitor DLL
user32.dll,Windows XP USER API Client DLL
userenv.dll,Userenv
usp10.dll,Uniscribe Unicode script processor
utildll.dll,WinStation utility support DLL
uxtheme.dll,Microsoft UxTheme Library
vbajet32.dll,Visual Basic for Applications Development Environment - Expression Service Loader
vbscript.dll,Microsoft (R) VBScript
vcdex.dll,32-bit MSCDEX Virtual Device Driver
vdmdbg.dll,VDMDBG.DLL
verifier.dll,Standard application verifier provider dll
version.dll,Version Checking and File Installation Libraries
vfpodbc.dll,vfpodbc
vga.dll,VGA 16 Colour Display Driver
vga256.dll,256 Color VGA\SVGA Display Driver
vga64k.dll,32K/64K color VGA\SVGA Display Driver
vjoy.dll,32-bit Joystick Virtual Device Driver
vmsrvc.dll,Virtual Machine Services Library
vpc-s3.dll,Virtual Machine S3 Display Driver
vss_ps.dll,Microsoft® Volume Shadow Copy Service proxy/stub
vssapi.dll,Microsoft® Volume Shadow Copy Requestor/Writer Services API DLL
vwipxspx.dll,Virtual Dos Machine IPX/SPX Interface Library
w32time.dll,Windows Time Service
w32topl.dll,Windows NT Topology Maintenance Tool
w3ssl.dll,SSL service for HTTP
wavemsp.dll,Microsoft Wave MSP
wdigest.dll,Microsoft Digest Access
webcheck.dll,Web Site Monitor
webclnt.dll,Web DAV Service DLL
webhits.dll,Indexing Service Webhits
webvw.dll,Shell WebView Content & Control Library
wiadefui.dll,WIA Scanner Default UI
wiadss.dll,WIA TWAIN compatibility layer
wiascr.dll,WIA Scripting Layer
wiaservc.dll,Still Image Devices Service
wiashext.dll,Imaging Devices Shell Folder UI
wiavideo.dll,WIA Video
wiavusd.dll,WIA Video Stream device USD
win32spl.dll,32-bit Spooler API DLL
winbrand.dll,Windows Branding Resources
windowscodecs.dll,Microsoft Windows Codecs Library
windowscodecsext.dll,Microsoft Windows Codecs Extended Library
winfax.dll,Microsoft Fax API Support DLL
winhttp.dll,Windows HTTP Services
wininet.dll,Internet Extensions for Win32
winipsec.dll,Windows IPSec SPD Client DLL
winmm.dll,MCI API DLL
winntbbu.dll,Windows Setup BillBrd DLL
winrnr.dll,LDAP RnR Provider DLL
winscard.dll,Microsoft Smart Card API
winshfhc.dll,File Risk Estimation
winsrv.dll,Windows Server DLL
winsta.dll,Winstation Library
winstrm.dll,Streams DLL
wintrust.dll,Microsoft Trust Verification APIs
wkssvc.dll,Workstation Service DLL
wlanapi.dll,Windows Wireless LAN 802.11 Client Side API DLL
wldap32.dll,Win32 LDAP API DLL
wlnotify.dll,Common DLL to receive Winlogon notifications
wmadmod.dll,Corona Windows Media Audio Decoder
wmadmoe.dll,Corona Windows Media Audio 9 Encoder/Transcoder
wmasf.dll,Windows Media ASF DLL
wmdmlog.dll,Windows Media Device Manager Logger
wmdmps.dll,Windows Media Device Manager Proxy Stub
wmerrenu.dll,Windows Media Services Error Definitions
wmerror.dll,Windows Media Error Definitions (English)
wmi.dll,WMI DC and DP functionality
wmidx.dll,Windows Media Indexer DLL
wmiprop.dll,WDM Provider Dynamic Property Page CoInstaller
wmiscmgr.dll,WMI Filter Manager
wmnetmgr.dll,Windows Media Network Plugin Manager DLL
wmp.dll,Windows Media Player Core
wmpasf.dll,Windows Media Filter Shim
wmpcd.dll,Windows Media Player
wmpcore.dll,Windows Media Player
wmpdxm.dll,Windows Media 6.4 Player Shim
wmphoto.dll,Windows Media Photo Codec
wmploc.dll,Windows Media Player
wmpshell.dll,Windows Media Player Launcher
wmpui.dll,Windows Media Player
wmsdmod.dll,Windows Media Screen Decoder
wmsdmoe.dll,Windows Media Screen Encoder
wmsdmoe2.dll,Corona Windows Media Screen Encoder
wmspdmod.dll,Windows Media Speech Decoder
wmspdmoe.dll,Windows Media Speech Encoder
wmstream.dll,Windows Media Streamer DLL
wmvcore.dll,Windows Media Playback/Authoring DLL
wmvdmod.dll,Corona Windows Media Video Decoder
wmvdmoe2.dll,Corona Windows Media Video Encoder
wow32.dll,32-bit WOW Subsystem Library
wowfax.dll,Windows 3.1 Compatible Fax Driver DLL
wowfaxui.dll,Windows 3.1 Compatible Fax Driver UI DLL
ws2_32.dll,Windows Socket 2.0 32-Bit DLL
ws2help.dll,Windows Socket 2.0 Helper for Windows NT
wscsvc.dll,Windows Security Center Service
wsecedit.dll,Security Configuration UI Module
wshatm.dll,Windows Sockets Helper DLL
wshbth.dll,Windows Sockets Helper DLL
wshcon.dll,Microsoft (R) Windows Script Controller
wshext.dll,Microsoft (R) Shell Extension for Windows Script Host
wship6.dll,IPv6 Helper DLL
wshisn.dll,NWLINK2 Socket Helper DLL
wshnetbs.dll,Netbios Windows Sockets Helper DLL
wshrm.dll,Windows Sockets Helper DLL for PGM
wshtcpip.dll,Windows Sockets Helper DLL
wsnmp32.dll,Microsoft WinSNMP v2.0 Manager API
wsock32.dll,Windows Socket 32-Bit DLL
wstdecod.dll,WST Decoder Filter
wtsapi32.dll,Windows Terminal Server SDK APIs
wuapi.dll,Windows Update Client API
wuaueng.dll,Windows Update AutoUpdate Engine
wuaueng1.dll,Windows Update AutoUpdate Engine
wuauserv.dll,Windows Update AutoUpdate Service
wucltui.dll,Windows Update Client UI Plugin
wups.dll,Windows Update client proxy stub
wuweb.dll,Windows Update Web Control
wzcdlg.dll,Wireless Zero Configuration Service UI
wzcsapi.dll,Wireless Zero Configuration service API
wzcsvc.dll,Wireless Zero Configuration Service
xactsrv.dll,Downlevel API Server DLL
xenroll.dll,XEnroll
xmllite.dll,Microsoft XmlLite Library
xmlprov.dll,Network Provisioning Service
xmlprovi.dll,Network Provisioning Service Client API
xolehlp.dll,MS DTC helper APIs DLL
xpob2res.dll,Service Pack 2 OOB Messages
xpsp1res.dll,Service Pack 1 Messages
xpsp2res.dll,Service Pack 2 Messages
xpsp3res.dll,Service Pack 3 Messages
zipfldr.dll,Compressed (zipped) Folders,
