aaaamon.dll,Aaaa Monitor DLL
dgnet.dll,Dgnet Module
dhcpcsvc.dll,DHCP Client Service
dhcpmon.dll,DHCP Monitor Dll
dhcpqec.dll,Microsoft DHCP NAP Enforcement Client
dhcpsapi.dll,DHCP Server API Stub DLL
diactfrm.dll,Microsoft DirectInput Mapper Framework
digest.dll,Digest SSPI Authentication Package
dimap.dll,Microsoft DirectInput Mapper
dimsntfy.dll,DIMS Notification Handler
dimsroam.dll,Key Roaming DIMS Provider DLL
dinput.dll,Microsoft DirectInput
dinput8.dll,Microsoft DirectInput
diskcopy.dll,Windows DiskCopy
dispex.dll,Microsoft (R) DispEx
dmband.dll,Microsoft DirectMusic Band
dmcompos.dll,Microsoft DirectMusic Composer
dmconfig.dll,Logical Disk Manager Configuration Library
dmdlgs.dll,Disk Management Snap-in Dialogs
dmdskmgr.dll,Disk Management Snap-in Support Library
dmdskres.dll,Disk Management Snap-in Resources
dmime.dll,Microsoft DirectMusic Interactive Engine
dmintf.dll,Disk Management DCOM Interface Stub
dmloader.dll,Microsoft DirectMusic Loader
dmocx.dll,TreeView OCX
dmscript.dll,Microsoft DirectMusic Scripting
dmserver.dll,Logical Disk Manager service dll
dmstyle.dll,Microsoft DirectMusic Style Engline
dmsynth.dll,Microsoft DirectMusic Software Synthesizer
dmusic.dll,Microsoft DirectMusic Core Services
dmutil.dll,Logical Disk Manager Utility Library
dnsapi.dll,DNS Client API DLL
dnsrslvr.dll,DNS Caching Resolver Service
docprop.dll,OLE DocFile Property Page
docprop2.dll,Microsoft DocProp Shell Ext
dot3api.dll,802.3 Autoconfiguration API
dot3cfg.dll,802.3 Netsh Helper
dot3dlg.dll,802.3 UI Helper
dot3gpclnt.dll,802.3 Group Policy Client
dot3msm.dll,802.3 Media Specific Module
dot3svc.dll,Wired AutoConfig Service
dot3ui.dll,802.3 Advanced UI
dpcdll.dll,Dpcdll Module
dplay.dll,Microsoft DirectPlay
dplayx.dll,Microsoft DirectPlay
dpmodemx.dll,Modem and Serial Connection For DirectPlay
dpnaddr.dll,Microsoft DirectPlay8 Address
dpnet.dll,Microsoft DirectPlay
dpnhpast.dll,Microsoft DirectPlay NAT Helper PAST
dpnhupnp.dll,Microsoft DirectPlay NAT Helper UPnP
dpnlobby.dll,Microsoft DirectPlay8 Lobby
dpnmodem.dll,Microsoft DirectPlay8 Modem Provider
dpnwsock.dll,Microsoft DirectPlay8 Winsock Provider
dpserial.dll,Microsoft DirectPlay Modem Service Provider
dpvacm.dll,Microsoft DirectPlay Voice ACM Provider
dpvoice.dll,Microsoft DirectPlay Voice
dpvvox.dll,Microsoft DirectPlay Voice Voxware Provider
dpwsock.dll,Microsoft DirectPlay Local Net Service Provider
dpwsockx.dll,Internet TCP/IP and IPX Connection For DirectPlay
drmclien.dll,DRM Client DLL
drmstor.dll,DRM Store DLL
drmv2clt.dll,DRMv2 Client DLL
drprov.dll,Microsoft Terminal Server Network Provider
ds32gt.dll,Microsoft Data Access - ODBC Driver Setup Generic Thunk
dsauth.dll,DS Authorization for Services
dsdmo.dll,DirectSound Effects
dsdmoprp.dll,DirectSound Effects Property Pages
dskquota.dll,Windows Shell Disk Quota Support DLL
dskquoui.dll,Windows Shell Disk Quota UI DLL
dsound.dll,DirectSound
dsound3d.dll,DirectSound3D LUT
dsprop.dll,Windows Active Directory Property Pages
dsprpres.dll,Windows Active Directory Property Pages Resources
dsquery.dll,Directory Service Find
dssec.dll,Directory Service Security UI
dssenh.dll,Microsoft Enhanced DSS and Diffie-Hellman Cryptographic Provider
dsuiext.dll,Directory Service Common UI
dswave.dll,Microsoft DirectMusic Wave
duser.dll,Windows DirectUser Engine
dx7vb.dll,Microsoft DirectX for Visual Basic
dx8vb.dll,Microsoft DirectX for Visual Basic
dxdiagn.dll,Microsoft DirectX Diagnostic Tool
dxmasf.dll,Windows Media Source Filter
dxtmsft.dll,DirectX Media -- Image DirectX Transforms
dxtrans.dll,DirectX Media -- DirectX Transform Core
eapolqec.dll,Microsoft EAPOL NAP Enforcement Client
eapp3hst.dll,Microsoft ThirdPartyEapDispatcher
eappcfg.dll,Eap Peer Config
eappgnui.dll,EAP Generic UI
eapphost.dll,Microsoft EAPHost Peer service
eappprxy.dll,Microsoft EAPHost Peer Client DLL
eapqec.dll,Microsoft EAP NAP Enforcement Client
eapsvc.dll,Microsoft EAPHost service
efsadu.dll,File Encryption Utility
els.dll,Event Viewer Snapin
encapi.dll,Encoder API
encdec.dll,XDSCodec & Encypter/Decrypter Tagger Filters.
ersvc.dll,Windows Error Reporting Service
es.dll,UNKNOWN
esent.dll,Server Database Storage Engine
esent97.dll,Microsoft(R) Windows NT(TM) Server Database Storage Engine
esentprf.dll,Server Database Storage Performance Library
eventcls.dll,Microsoft® Volume Shadow Copy Service event class
eventlog.dll,Event Logging Service
expsrv.dll,Visual Basic for Applications Runtime - Expression Service
extmgr.dll,Extensions Manager
exts.dll,Debugger Extensions
f3ahvoas.dll,JP Japanese Keyboard Layout for Fujitsu FMV oyayubi-shift keyboard
faultrep.dll,Windows Error Reporting
fde.dll,Folder Redirection Snapin Extension
fdeploy.dll,Folder Redirection Winlogon Extension
feclient.dll,Windows NT File Encryption Client Interfaces
filemgmt.dll,Services and Shared Folders
fldrclnr.dll,Desktop Cleanup Wizard
fltlib.dll,Filter Library
fmifs.dll,FM IFS Utility DLL
fontext.dll,Windows Font Folder
fontsub.dll,Font Subsetting DLL
framebuf.dll,Framebuffer Display Driver
fsusd.dll,File System Camera Devices DLL
ftlx041e.dll,Thai Wordbreaker
ftsrch.dll,Microsoft® Full-Text Search
fwcfg.dll,Windows Firewall Configuration Helper
gcdef.dll,Game Controllers Default Sheets
gdi32.dll,GDI Client DLL
getuname.dll,Unicode name Dll for UCE
glmf32.dll,OpenGL Metafiling DLL
glu32.dll,OpenGL Utility Library DLL
gpedit.dll,GPEdit
gpkcsp.dll,Gemplus Cryptographic Service Provider
gpkrsrc.dll,Gemplus Cryptographic Service Provider Resources
gptext.dll,GPTExt
HAL.DLL,Hardware Abstraction Layer DLL
h323msp.dll,Microsoft H.323 Media Service Provider
hccoin.dll,USB Coinstaller
hhsetup.dll,Microsoft® HTML Help
hid.dll,Hid User Library
hlink.dll,Microsoft Office 2000 component
hnetcfg.dll,Home Networking Configuration Manager
hnetmon.dll,Home Networking Monitor DLL
hnetwiz.dll,Network Setup Wizard
hotplug.dll,Safely Remove Hardware applet
httpapi.dll,HTTP Protocol Stack API
htui.dll,Common halftone Color Adjustment Dialogs,
iasacct.dll,IAS Accounting Provider
iasads.dll,IAS Active Directory Data Store
iashlpr.dll,IAS Surrogate Component
iasnap.dll,IAS NAP Provider
iaspolcy.dll,IAS Pipeline
iasrad.dll,IAS RADIUS Protocol Component
iasrecst.dll,IAS Jet Database Access
iassam.dll,IAS NT SAM Provider
iassdo.dll,IAS SDO Component
iassvcs.dll,IAS Services Component
icaapi.dll,DLL Interface to TermDD Device Driver
icardie.dll,Microsoft Information Card IE Helper
icfgnt5.dll,Internet Connection Wizard
icm32.dll,Microsoft Color Management Module (CMM)
icmp.dll,ICMP DLL
icmui.dll,Microsoft Color Matching System User Interface DLL
