avifil32.dll,Microsoft AVI File support library
avrt.dll,Multimedia Realtime Runtime
azroles.dll,azroles Module
azroleui.dll,Authorization Manager
BFE.DLL,Base Filtering Engine
BOOTVID.DLL,VGA Boot Driver
BWUnpairElevated.dll,BWUnpairElevated Proxy Dll
BdeHdCfgLib.dll,Windows BitLocker Drive Preparation Tool
BioCredProv.dll,WinBio Credential Provider
BlbEvents.dll,Blb Publisher
BthMtpContextHandler.dll,Bluetooth MTP Context Menu Handler
basecsp.dll,Microsoft Base Smart Card Crypto Provider
basesrv.dll,Windows NT BASE API Server DLL
batmeter.dll,Battery Meter Helper DLL
batt.dll,Battery Class Installer
bcdprov.dll,Boot Configuration Data WMI Provider
bcdsrv.dll,Boot Configuration Data COM Server
bcrypt.dll,Windows Cryptographic Primitives Library
bcryptprimitives.dll,Windows Cryptographic Primitives Library
bderepair.dll,BitLocker Drive Encryption: Drive Repair Tool
bdesvc.dll,BDE Service
bdeui.dll,Windows BitLocker Drive Encryption User Interface
bidispl.dll,Bidispl DLL
biocpl.dll,Biometrics Control Panel
bitsigd.dll,Background Intelligent Transfer Service IGD Support
bitsperf.dll,Perfmon Counter Access
bitsprx2.dll,Background Intelligent Transfer Service Proxy
bitsprx3.dll,Background Intelligent Transfer Service 2.0 Proxy
bitsprx4.dll,Background Intelligent Transfer Service 2.5 Proxy
bitsprx5.dll,Background Intelligent Transfer Service 3.0 Proxy
bitsprx6.dll,Background Intelligent Transfer Service 4.0 Proxy
blackbox.dll,BlackBox DLL
blb_ps.dll,Microsoft® Block Level Backup proxy/stub
blbres.dll,Microsoft® Block Level Backup Engine Service Resources
bootres.dll,Boot Resource Library
bootstr.dll,Boot String Resource Library
brdgcfg.dll,NWLink IPX Notify Object
bridgeres.dll,Bridge Resources
browcli.dll,Browser Service Client DLL
browser.dll,Computer Browser Service DLL
browseui.dll,Shell Browser UI Library
bthci.dll,Bluetooth Class Installer
bthpanapi.dll,bthpanapi
bthserv.dll,Bluetooth Support Service
btpanui.dll,Bluetooth PAN User Interface
CHxReadingStringIME.dll,CHxReadingStringIME
CIRCoInst.dll,USB Consumer IR Driver coinstaller for eHome
COLORCNV.DLL,Windows Media Color Conversion
CPFilters.dll,PTFilter & Encypter/Decrypter Tagger Filters.
CRPPresentation.dll,Conference Room Projector : Presentation
C_G18030.DLL,GB18030 DBCS-Unicode Conversion DLL
C_IS2022.DLL,ISO-2022 Code Page Translation DLL
C_ISCII.DLL,ISCII Code Page Translation DLL
CardGames.dll,CardGames Resources
CertEnroll.dll,Microsoft® Active Directory Certificate Services Enrollment Client
